id,position_x,position_y,iteration_number,time
87,1.9999999999999991,-4.0,5,5
87,-8.881784197001252e-16,-3.9999999999999996,6,6
88,0,0,0,0
88,2,0,1,1
88,4.0,0.0,2,2
88,3.9999999999999996,-2.0,3,3
88,3.999999999999999,-4.0,4,4
88,3.9999999999999987,-6.0,5,5
88,3.9999999999999982,-8.0,6,6
88,3.999999999999998,-10.0,7,7
88,1.9999999999999978,-10.0,8,8
88,-2.220446049250313e-15,-10.0,9,9
89,0,0,0,0
89,2,0,1,1
89,1.9999999999999996,-2.0,2,2
90,0,0,0,0
90,2,0,1,1
90,4.0,0.0,2,2
90,6.0,0.0,3,3
90,6.0,2.0,4,4
90,8.0,2.0,5,5
91,0,0,0,0
91,2,0,1,1
91,1.9999999999999996,-2.0,2,2
91,3.9999999999999996,-2.0,3,3
91,6.0,-2.0,4,4
91,8.0,-2.0,5,5
92,0,0,0,0
92,2,0,1,1
92,1.9999999999999996,-2.0,2,2
92,-4.440892098500626e-16,-1.9999999999999998,3,3
93,0,0,0,0
93,2,0,1,1
93,4.0,0.0,2,2
93,3.9999999999999996,-2.0,3,3
93,6.0,-2.0,4,4
93,8.0,-2.0,5,5
94,0,0,0,0
94,2,0,1,1
94,1.9999999999999996,-2.0,2,2
94,-4.440892098500626e-16,-1.9999999999999998,3,3
95,0,0,0,0
95,2,0,1,1
95,4.0,0.0,2,2
95,4.0,2.0,3,3
95,4.0,4.0,4,4
95,6.0,4.0,5,5
96,0,0,0,0
96,2,0,1,1
96,4.0,0.0,2,2
96,4.0,2.0,3,3
96,6.0,2.0,4,4
96,8.0,2.0,5,5
97,0,0,0,0
97,2,0,1,1
97,4.0,0.0,2,2
97,6.0,0.0,3,3
97,6.0,-2.0,4,4
97,6.0,-4.0,5,5
97,4.0,-3.9999999999999996,6,6
97,2.0,-3.999999999999999,7,7
97,1.9999999999999996,-5.999999999999999,8,8
97,1.9999999999999991,-7.999999999999999,9,9
97,-8.881784197001252e-16,-7.999999999999999,10,10
98,0,0,0,0
98,2,0,1,1
98,4.0,0.0,2,2
98,3.9999999999999996,-2.0,3,3
98,3.999999999999999,-4.0,4,4
98,3.9999999999999987,-6.0,5,5
98,1.9999999999999987,-6.0,6,6
98,1.999999999999999,-4.0,7,7
98,3.999999999999999,-4.0,8,8
98,5.999999999999999,-4.0,9,9
98,7.999999999999999,-4.0,10,10
99,0,0,0,0
99,2,0,1,1
99,4.0,0.0,2,2
99,6.0,0.0,3,3
99,6.0,-2.0,4,4
99,6.0,-4.0,5,5
99,8.0,-4.0,6,6
100,0,0,0,0
100,2,0,1,1
100,2.0,2.0,2,2
100,2.0,4.0,3,3
100,4.0,4.0,4,4
100,6.0,4.0,5,5
100,8.0,4.0,6,6
101,0,0,0,0
101,2,0,1,1
101,2.0,2.0,2,2
101,2.0,4.0,3,3
101,4.0,4.0,4,4
101,6.0,4.0,5,5
101,6.0,2.0,6,6
101,8.0,2.0,7,7
102,0,0,0,0
102,2,0,1,1
102,1.9999999999999996,-2.0,2,2
102,-4.440892098500626e-16,-1.9999999999999998,3,3
103,0,0,0,0
103,2,0,1,1
103,2.0,2.0,2,2
103,4.0,2.0,3,3
103,4.0,4.0,4,4
103,4.0,6.0,5,5
103,4.0,8.0,6,6
103,2.0,8.0,7,7
103,2.0,10.0,8,8
103,4.0,10.0,9,9
103,6.0,10.0,10,10
104,0,0,0,0
104,2,0,1,1
104,1.9999999999999996,-2.0,2,2
105,0,0,0,0
105,2,0,1,1
105,4.0,0.0,2,2
105,3.9999999999999996,-2.0,3,3
105,3.999999999999999,-4.0,4,4
105,5.999999999999999,-4.0,5,5
105,5.999999999999999,-6.0,6,6
105,3.999999999999999,-6.0,7,7
105,1.9999999999999991,-6.0,8,8
105,1.9999999999999993,-4.0,9,9
106,0,0,0,0
106,2,0,1,1
106,1.9999999999999996,-2.0,2,2
106,3.9999999999999996,-2.0,3,3
106,3.999999999999999,-4.0,4,4
106,3.9999999999999987,-6.0,5,5
106,3.9999999999999982,-8.0,6,6
106,1.9999999999999982,-8.0,7,7
106,1.9999999999999984,-6.0,8,8
107,0,0,0,0
107,2,0,1,1
107,2.0,2.0,2,2
107,4.0,2.0,3,3
107,3.9999999999999996,0.0,4,4
107,3.999999999999999,-2.0,5,5
107,3.9999999999999987,-4.0,6,6
107,3.9999999999999982,-6.0,7,7
107,3.999999999999998,-8.0,8,8
107,3.9999999999999973,-10.0,9,9
107,5.999999999999997,-10.0,10,10
107,5.999999999999997,-12.0,11,11
107,5.999999999999997,-14.0,12,12
107,5.999999999999997,-16.0,13,13
107,5.999999999999997,-18.0,14,14
107,7.999999999999997,-18.0,15,15
108,0,0,0,0
108,2,0,1,1
108,4.0,0.0,2,2
108,6.0,0.0,3,3
108,8.0,0.0,4,4
109,0,0,0,0
109,2,0,1,1
109,4.0,0.0,2,2
109,4.0,2.0,3,3
109,4.0,4.0,4,4
109,4.0,6.0,5,5
109,4.0,8.0,6,6
109,6.0,8.0,7,7
109,6.0,10.0,8,8
109,4.0,10.0,9,9
109,2.0,10.0,10,10
109,2.0,12.0,11,11
109,2.0,14.0,12,12
109,2.0,16.0,13,13
109,2.0,18.0,14,14
109,2.0,20.0,15,15
109,2.0,22.0,16,16
109,0.0,22.0,17,17
110,0,0,0,0
110,2,0,1,1
110,4.0,0.0,2,2
110,3.9999999999999996,-2.0,3,3
110,3.999999999999999,-4.0,4,4
110,3.9999999999999987,-6.0,5,5
110,5.999999999999998,-6.0,6,6
110,5.999999999999998,-4.0,7,7
110,5.999999999999998,-2.0,8,8
110,5.999999999999998,0.0,9,9
111,0,0,0,0
111,2,0,1,1
111,4.0,0.0,2,2
111,4.0,2.0,3,3
111,2.0,2.0000000000000004,4,4
111,2.0,4.0,5,5
111,0.0,4.0,6,6
112,0,0,0,0
112,2,0,1,1
112,1.9999999999999996,-2.0,2,2
112,1.9999999999999991,-4.0,3,3
112,-8.881784197001252e-16,-3.9999999999999996,4,4
113,0,0,0,0
113,2,0,1,1
113,4.0,0.0,2,2
113,3.9999999999999996,-2.0,3,3
113,3.999999999999999,-4.0,4,4
113,1.9999999999999991,-3.9999999999999996,5,5
113,1.9999999999999993,-1.9999999999999996,6,6
113,3.999999999999999,-1.9999999999999996,7,7
113,5.999999999999999,-1.9999999999999996,8,8
113,5.999999999999999,4.440892098500626e-16,9,9
114,0,0,0,0
114,2,0,1,1
114,4.0,0.0,2,2
114,6.0,0.0,3,3
114,6.0,2.0,4,4
114,6.0,4.0,5,5
114,8.0,4.0,6,6
115,0,0,0,0
115,2,0,1,1
115,4.0,0.0,2,2
115,3.9999999999999996,-2.0,3,3
115,6.0,-2.0,4,4
116,0,0,0,0
116,2,0,1,1
116,4.0,0.0,2,2
116,4.0,2.0,3,3
116,4.0,4.0,4,4
116,4.0,6.0,5,5
116,4.0,8.0,6,6
116,4.0,10.0,7,7
116,4.0,12.0,8,8
116,2.0,12.0,9,9
116,0.0,12.0,10,10
117,0,0,0,0
117,2,0,1,1
117,1.9999999999999996,-2.0,2,2
117,-4.440892098500626e-16,-1.9999999999999998,3,3
118,0,0,0,0
118,2,0,1,1
118,1.9999999999999996,-2.0,2,2
118,1.9999999999999991,-4.0,3,3
118,3.999999999999999,-4.0,4,4
118,5.999999999999999,-4.0,5,5
118,7.999999999999999,-4.0,6,6
119,0,0,0,0
119,2,0,1,1
119,4.0,0.0,2,2
119,6.0,0.0,3,3
119,8.0,0.0,4,4
120,0,0,0,0
120,2,0,1,1
120,4.0,0.0,2,2
120,3.9999999999999996,-2.0,3,3
120,3.999999999999999,-4.0,4,4
120,5.999999999999999,-4.0,5,5
120,5.999999999999999,-2.0,6,6
121,0,0,0,0
121,2,0,1,1
121,4.0,0.0,2,2
121,4.0,2.0,3,3
121,2.0,2.0000000000000004,4,4
121,2.0,4.0,5,5
121,0.0,4.0,6,6
122,0,0,0,0
122,2,0,1,1
122,4.0,0.0,2,2
122,4.0,2.0,3,3
122,4.0,4.0,4,4
122,6.0,4.0,5,5
122,6.0,2.0,6,6
122,4.0,2.0000000000000004,7,7
122,4.0,4.0,8,8
122,6.0,4.0,9,9
122,8.0,4.0,10,10
123,0,0,0,0
123,2,0,1,1
123,4.0,0.0,2,2
